Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
EBOVAC.245159.release92.star.	0	0.0305211629896029	0.0385827431346461	0.0501922538129801	0.12452467207496	0.0856583894938285	0.0641785361987162	0	0	0.0327865666611393	0	0.0140194097906656	0.328618145215675	0.00685990562629336	0	0	0.00205794609597925	0.0165828617396097	0.0393718873063353	0	0	0.166045519859569	0	0.822753563339871	0.645109990997664
EBOVAC.246171.release92.star.	0	0.0481632709794495	0.0461372627181631	0.0314346180012869	0.0826908650077713	0.182257499108658	0.119487928511316	0	0	0.0219092941182009	0.0307462909003745	0.0477803314274755	0.222952536606438	0.00662386642634198	0	0	0.00423365947059409	0.0101567588602422	0.0501711598320091	0	0	0.0952546580316781	0	0.746010680100857	0.725753970545786
EBOVAC.247183.release92.star.	0.00508687385468629	0.0242301784294406	0.0260344826239706	0.022634000187839	0.13563830046192	0.0550886806411717	0.0608853806247472	0	0	0.0305204380382095	0	0.0146672832437383	0.34098654429825	0.0194895707179817	0	0	0.000521093021502147	0.0104607104465443	0.0434768542384617	0	0	0.210279609171536	0	0.859402130398127	0.595210145948538
EBOVAC.248195.release92.star.	0	0.0688380244120042	0.0603626478542306	0.0710153397613849	0.158956062967999	0.0896793168504115	0.0146952569090999	0	0.0231580999274582	0.0216226152203725	0	0.00341270460294802	0.331327700855429	0.0228159932642422	0	0	0	0.0413838818918873	0	0	0	0.0927323554825332	0	0.81867978448424	0.660111653018601
EBOVAC.249112.release92.star.	0	0.0829548907914885	0.0739599128214693	0.0755058706010934	0.158481755840614	0.04827442463987	0.0154118610753808	0	0.0105564296663054	0.0397087267776461	0	0.0354174073491334	0.293035939908878	0.0352332378868508	0	0	0	0.0306669428693456	0.0267085021936441	0	0	0.0740840975782812	0	0.762290064694871	0.712283327556235
EBOVAC.250124.release92.star.	0	0.0320619067937943	0.0430065623606694	0.075275013961298	0.106862382235527	0.124331324923176	0.0481088047764016	0	0	0.00613795996784131	0	0.0147966871169584	0.271622060033738	0.000308360835912529	0	0	1.28356853914838e-05	0.0244479430831826	0.037292648781103	0	0	0.215735509445006	0	0.794555261349989	0.661433965750573
EBOVAC.251136.release92.star.	0.0072836006728848	0.0160106675190059	0.0340452269653451	0.0181340830043894	0.107931227962395	0.147512366127446	0.0571391236871435	0	0	0.00350538950058587	0.0400031084722721	0.0131760749424786	0.370842730178025	0.00144686156163511	0	0	0	0.0228659653656011	0.0170316327956157	0	0	0.143071941245178	0	0.745975571106917	0.701654290860818
EBOVAC.252148.release92.star.	0	0.0284383409894709	0.0505257328688518	0.0255972507577819	0.137441580641819	0.102118920240508	0.0483486727351435	0	0	0.0353790026119248	0	0.0338248116349709	0.364182067863154	0.00210685772554139	0	0	0.00526132090892739	0.017475377850174	0.0372858001230994	0	0	0.112014263048633	0	0.832333900590388	0.6455131980849
EBOVAC.253160.release92.star.	0.00356566284703468	0.0277054212803118	0.0282048359640541	0.0418263161268818	0.110220519852151	0.102751917399186	0.0929881539193031	0	0	0.00566838557474258	0.060450550676702	0.00125589739089131	0.274378365358921	0	0	0	0.0011015147494733	0.0242769371433161	0.0300983128395691	0	0	0.195507208877462	0	0.83804977926158	0.634988310690513
EBOVAC.254172.release92.star.	0	0.0389800263737698	0.0625643022043835	0.0590194670216599	0.113938078778633	0.0767496144890447	0.0542985696602014	0	0	0.0216808918610462	0	0.0295933537921528	0.325049122528799	0.0155887705223326	0	0	0	0.0434124156535094	0.0262159647538858	0	0	0.132909422360582	0	0.781001948639536	0.689056563849525
EBOVAC.255184.release92.star.	0	0.0657156110111032	0.0611367414746856	0.0769129459218211	0.18556258724894	0.0745753590106399	0.02754854147546	0	0	0	0.0449085729851803	0.00577893945691653	0.229394886617065	0	0	0	0.00430500933116481	0.044071548665971	0.0175890116735476	0	0	0.162500245127506	0	0.815316834125177	0.664551502942365
EBOVAC.256196.release92.star.	0	0.0233880994294707	0.0697764259962217	0.0337763055223333	0.123218788545166	0.174556963931133	0.063642539179739	0	0	0.0138022788342925	0.00650531914609588	0.0156745824884549	0.322288717501846	0.0100402359246566	0	0	0	0.0162512042198666	0.0312457927270425	0	0	0.0958327465536821	0	0.744088216487241	0.717639020354321
